quadrat,Acalypha_rhomboidea,Acer_sp,Achillea_millefolium,Agalinis_sp,Agastache_nepetoides,Agastache_scrophulariifolia,Agrimonia_sp,Agrostis_gigantea,Agrostis_hyemalis,Allium_cernuum,Allium_vineale,Alnus_sp,Amaranthus_sp,Ambrosia_artemisiifolia,Ambrosia_trifida,Amorpha_canescens,Amorpha_fruticosa,Anaphalis_margaritacea,Andropogon_gerardii,Anemone_cylindrica,Anemone_virginiana,Antennaria_neglecta,Antennaria_plantaginifolia,Apocynum_androsaemifolium,Apocynum_cannabinum,Aquilegia_canadensis,Aristida_tuberculosa,Arnoglossum_atriplicifolium,Artemisia_campestris,Asclepias_incarnata,Asclepias_syriaca,Asclepias_tuberosa,Asclepias_verticillata,Astragalus_canadensis,Baptisia_alba,Barbarea_vulgaris,Berteroa_incana,Betula_pumila,Bidens_sp,Bouteloua_curtipendula,Brickellia_eupatorioides,Bromus_sp,Bromus_inermis,Bromus_kalmii,Calamagrostis_canadensis,Calamovilfa_longifolia,Callitriche_terrestris,Cannabis_sativa,Carex_annectens,Carex_bicknellii,Carex_brevior,Carex_davisii,Carex_haydenii,Carex_muehlenbergii,Carex_normalis,Carex_pensylvanica,Carex_scoparia,Carex_sparganioides,Carex_sp,Carex_stricta,Carex_swanii,Carex_tribuloides,Carex_vulpinoidea,Ceanothus_americanus,Cenchrus_longispinus,Centaurea_stoebe,Cerastium_sp,Chamaecrista_fasciculata,Chamaecrista_nictitans,Chenopodium_album,Cichorium_intybus,Cirsium_sp,Cirsium_altissimum,Cirsium_arvense,Cirsium_discolor,Cirsium_vulgare,Convolvulus_arvensis,Coreopsis_lanceolata,Coreopsis_palmata,Coreopsis_tripteris,Cornus_foemina,Corylus_americana,Crataegus_sp,Croton_glandulosus,Cyperus_sp,Dactylis_glomerata,Dalea_candida,Dalea_purpurea,Danthonia_spicata,Daucus_carota,Desmodium_canadense,Desmodium_ciliare,Desmodium_illinoense,Desmodium_marilandicum,Desmodium_paniculatum,Desmodium_rotundifolium,Desmodium_sessilifolium,Dianthus_armeria,Dichanthelium_acuminatum,Dichanthelium_oligosanthes,Dichanthelium_villosissimum,Digitaria_cognata,Dodecatheon_meadia,Doellingeria_umbellata,Drymocallis_arguta,Echinacea_pallida,Echinacea_purpurea,Elaeagnus_umbellata,Elymus_canadensis,Elymus_hystrix,Elymus_repens,Elymus_virginicus,Epilobium_coloratum,Equisetum_hyemale,Eragrostis_pectinicea,Erechtites_hieraciifolius,Conyza_canadensis,Erigeron_strigosus,Eryngium_yuccifolium,Eupatorium_altissimum,Eupatorium_perfoliatum,Eupatorium_serotinum,Euphorbia_corollata,Euphorbia_cyparissias,Euthamia_graminifolia,Euthamia_gymnospermoides,Eutrochium_purpureum,Fallopia_convolvulus,Festuca_trachyphylla,Filipendula_rubra,Fragaria_virginiana,Frangula_alnus,Fraxinus_sp,Galium_boreale,Galium_pilosum,Galium_triflorum,Gentiana_alba,Gentiana_andrewsii,Gentiana_flavida,Geranium_maculatum,Geum_sp,Gleditsia_triacanthos,Glycine_max,Hackelia_virginiana,Helenium_autumnale,Helianthus_divaricatus,Helianthus_giganteus,Helianthus_grosseserratus,Helianthus_mollis,Helianthus_occidentalis,Helianthus_pauciflorus,Helianthus_petiolarus,Heliopsis_helianthoides,Hieracium_longipilum,Hypericum_ascyron,Hypericum_perforatum,Hypericum_punctatum,Hypochaeris_radicata,Ipomoea_hederacea,Juglans_nigra,Juncus_dudleyi,Juncus_effusus,Juncus_greenei,Juncus_interior,Juncus_tenuis,Koeleria_macrantha,Lactuca_canadensis,Lactuca_serriola,Lathyrus_venosus,Lepidium_spp,Lespedeza_capitata,Lespedeza_hirta,Lespedeza_virginica,Leucanthemum_vulgare,Liatris_aspera,Liatris_spicata,Liatris_pycnostachya,Liriodendron_tulipifera,Lithospermum_canescens,Lobelia_siphilitica,Lolium_arundinaceum,Lonicera_sp,Lotus_corniculatus,Lupinus_perennis,Lycopus_sp,Lythrum_alatum,Lythrum_salicaria,Maianthemum_racemosum,Malus_sp,Medicago_lupulina,Melilotus_sp,Mollugo_verticillata,Monarda_fistulosa,Monarda_punctata,Morus_alba,Muhlenbergia_frondosa,Nuttallanthus_canadensis,Oenothera_biennis,Oenothera_laciniata,Onoclea_sensibilis,Oxalis_sp,Oxypolis_rigidior,Packera_paupercula,Panicum_capillare,Panicum_virgatum,Parthenium_integrifolium,Parthenocissus_quinquefolia,Paspalum_sp,Pastinaca_sativa,Pedicularis_canadensis,Penstemon_digitalis,Penstemon_hirsutus,Persicaria_sp,Phalaris_arundinacea,Phleum_pratense,Physalis_heterophylla,Physalis_virginiana,Phytolacca_americana,Pinus_sp,Plantago_lanceolata,Plantago_major,Plantago_patagonica,Plantago_rugelii,Poa_sp,Poa_compressa,Poa_pratensis,Polygala_polygama,Polygonum_articulatum,Polygonum_persicaria,Populus_deltoides,Populus_tremuloides,Potentilla_argentea,Potentilla_arguta,Potentilla_canadensis,Potentilla_recta,Potentilla_simplex,Prunus_serotina,Pseudognaphalium_obtusifolium,Pteridium_aquilinum,Pycnanthemum_virginianum,Quercus_macrocarpa,Quercus_palustris,Quercus_rubra,Quercus_velutina,Ranunculus_abortivus,Ratibida_pinnata,Rhamnus_cathartica,Rhus_copallina,Rhus_typhina,Robinia_pseudoacacia,Rosa_carolina,Rosa_multiflora,Rubus_sp,Rubus_allegheniensis,Rubus_flagellaris,Rubus_occidentalis,Rudbeckia_fulgida,Rudbeckia_hirta,Rudbeckia_subtomentosa,Rudbeckia_triloba,Rumex_acetosella,Rumex_crispus,Salix_exigua,Sanicula_sp,Saponaria_officinalis,Sassafras_albidum,Schizachyrium_scoparium,Scirpus_cyperinus,Senna_hebecarpa,Setaria_sp,Silene_latifolia,Silphium_integrifolium,Silphium_laciniatum,Silphium_perfoliatum,Silphium_terebinthinaceum,Solanum_carolinense,Solidago_canadensis,Solidago_gigantea,Solidago_graminifolia,Solidago_juncea,Solidago_missouriensis,Solidago_nemoralis,Solidago_riddellii,Solidago_rigida,Solidago_rugosa,Solidago_speciosa,Sonchus_oleraceus,Sorghastrum_nutans,Spartina_pectinata,Spiraea_tomentosa,Sporobolus_heterolepis,Stellaria_sp,Symphyotrichum_cordifolium,Symphyotrichum_ericoides,Symphyotrichum_firmum,Symphyotrichum_laeve,Symphyotrichum_lanceolatum,Symphyotrichum_lateriflorum,Symphyotrichum_novae-angliae,Symphyotrichum_oolentangiense,Symphyotrichum_pilosum,Symphyotrichum_puniceum,Symphyotrichum_sericeum,Tanacetum_vulgare,Taraxacum_officinale,Tephrosia_virginiana,Thalictrum_dasycarpum,Thelypteris_palustris,Toxicodendron_radicans,Tradescantia_ohiensis,Tragopogon_sp,Trifolium_sp,Trifolium_pratense,Trifolium_repens,Triodanis_perfoliata,Ulmus_sp,Verbascum_blattaria,Verbascum_thapsus,Verbena_stricta,Verbena_hastata,Verbena_urticifolia,Vernonia_gigantea,Veronica_sp,Veronicastrum_virginicum,Vicia_sp,Viola_fimbriatula,Viola_lanceolata,Viola_pedatifida,Viola_sagittata,Viola_sororia,Vitis_aestivalis,Vitis_riparia,Zizia_aptera,Zizia_aurea
A2_m15,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
A2_m25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
A2_m35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2_m45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2_m5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A302_m15,0,0,2,0,0,0,0,0,31,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A302_m25,0,0,1,0,0,0,0,0,31,0,0,0,0,0.01,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A302_m35,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A302_m45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
A302_m5,0,0,0,0,0,0,0,0,12,0,0,0,0,0.05,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
