State,Site,Lat,Long,First_Growing_Season,age_at_survey,burn,last.burn,CEC,pH,OM_perc,Ca_perc,Mg_perc,K_perc,P_BrayI,N_perc,mayaug_precip,seedrichness,soilpc1,soilpc2,MPDwithin,MNTDwithin
Illinois,Brookdale,42.361403,-88.533318,2010,6,2016,0,11.25,7.6,2.3,59.24,34.37,1.64,2,0.13,19.89,21,-2.330133378,-1.497033132,-1.598029955,-1.163378447
Illinois,GlacialPark,42.428122,-88.296921,2012,4,2016,0,16.75,6.3,2.98,58.81,22.94,1.58,3,0.14,10.54,43,-1.220107451,0.731208749,-0.379169883,-0.888056249
Illinois,GooseLake417,42.478843,-88.38553,2011,5,2016,0,18.53,6.4,3.3,55.61,28.51,1.26,15,0.17,18.2,14,-1.620615981,0.699689176,-0.510167497,-1.78598442
Illinois,GooseLake463,42.47473,-88.389066,2012,4,2016,0,28.14,7.3,8.13,66.13,28.04,1.28,7,0.39,10.54,15,-4.920616737,2.252045694,0.084482943,-0.940472591
Illinois,HighPoint1,42.475482,-88.542442,2008,8,2014,2,17,7.7,1.89,58.79,35.2,1.57,11,0.11,18.05,26,-2.675091815,-1.316412044,-1.786188359,-0.431228399
Illinois,HighPoint3,42.472692,-88.555476,2009,7,2014,2,16.76,5.4,3.22,43.32,15.07,1.24,6,0.14,18.75,25,0.607756006,2.397957836,-0.791390364,-0.926147184
Illinois,KishCorr54,42.26248,-88.693672,2003,13,2016,0,23.94,6.6,6.04,67.71,20.05,0.77,7,0.25,15.42,25,-3.192153664,2.283263088,0.496350825,-1.491282175
Illinois,KishCorr871Mesic,42.267934,-88.693534,2004,12,2016,0,32.56,6.9,8.13,69.95,22.39,1.07,25,0.38,19.89,18,-4.729710157,3.167784101,-0.145176009,-1.658141707
Illinois,KishCorr873Dry,42.267669,-88.692727,2004,12,2016,0,14.07,5.6,2.58,48.58,14.04,3.35,55,0.16,19.89,21,1.081015394,1.366551958,0.463766691,-1.142081813
Illinois,KishHead1,42.288851,-88.446854,2006,10,2011,5,19.31,5.5,3.11,42.18,18.43,2.38,4,0.15,15.9,18,0.386491401,2.00279507,0.704682019,-0.328727669
Illinois,KishHead3,42.290126,-88.447758,2006,10,2011,5,22.46,6.4,4.52,59.77,23.56,1.99,7,0.25,15.9,13,-2.14157834,1.448508555,-0.593181908,-1.82157835
Illinois,Marengo282,42.283177,-88.590563,2009,7,2016,0,14.15,6.5,1.76,53.75,30.51,2.52,18,0.09,18.75,21,-0.818840333,-0.588525314,0.096557545,-1.279404506
Illinois,Marengo84,42.279758,-88.599848,2005,11,2014,2,23.41,6.9,3.83,65.14,26.91,1.23,7,0.2,9.58,16,-2.95186334,0.776412913,-2.344415484,-1.930320963
Illinois,NorthBranch,42.48789,-88.32747,2003,13,2014,2,19.42,5.7,3.31,47.5,19.31,2.57,13,0.2,15.42,23,-0.087385553,1.72583935,-0.38005851,-1.656848015
Illinois,PioneerFen,42.394053,-88.260299,2009,7,2015,1,16.83,6.3,2.23,56.6,24.86,1.89,11,0.11,18.75,26,-0.927891509,0.338102696,0.389878088,-0.171945964
Illinois,PleasantValley55,42.245514,-88.458697,2003,13,2015,1,17.17,7.5,2.93,56.29,36.98,2.17,1,0.14,15.42,15,-2.762821741,-1.03119478,-0.550526534,-1.761505531
Illinois,PleasantValley81,42.245596,-88.464102,2004,12,2015,1,48.04,7.8,6.45,85.48,9.96,0.41,1,0.35,19.89,12,-6.383395892,3.680861586,-0.762925955,-1.539766944
Illinois,StickneyRun,42.287008,-88.259371,2007,9,2013,3,25.94,7.1,6.92,66.19,27.85,0.9,8,0.32,29.01,11,-4.295900467,1.899731144,-0.26385022,-1.844789637
Illinois_Nachusa,CCEE17,41.90403,-89.32771,2006,11,2017,0,10.58,6.94,3.46,65.18,27.36,6.34,17.8,3,23.06,119,-1.385891276,-1.498078645,-0.694814752,-2.483694726
Illinois_Nachusa,CCEE18,41.90403,-89.32771,2006,12,2017,1,10.18,6.88,2.66,65,29.28,4.06,8.8,2.34951735,23.06,119,-1.479788469,-1.370271405,0.160689469,-2.184472374
Illinois_Nachusa,CCEX17,41.90384,-89.32865,2006,11,2017,0,10.04,6.78,3.1,66.56,25.64,6.54,24,1.4,23.06,127,-1.042496892,-1.520686652,-0.408738109,-2.211549148
Illinois_Nachusa,CCEX18,41.90384,-89.32865,2006,12,2017,1,10.64,6.7,2.66,64.7,26.78,4.3,16.8,4.420106956,23.06,127,-1.152417408,-1.094016797,-0.344380952,-1.871321044
Illinois_Nachusa,CCW_18,41.9042,-89.33205,2008,10,2018,0,10.66,6.3,2.72,58.76,26.7,4.06,18.4,2.564724849,22.65,116,-0.560658397,-0.607083402,-0.269932223,-2.218058609
Illinois_Nachusa,CCWE17,41.90388,-89.33315,2008,9,2013,4,9.98,6.36,3.28,61.68,22.82,6.1,28.4,2.6,22.65,116,-0.3833679,-0.773228427,-0.449135996,-2.361476976
Illinois_Nachusa,CCWE18,41.90388,-89.33315,2008,10,2018,0,10.2,6.24,2.82,60.56,23.66,4.16,18.4,2.343968252,22.65,119,-0.429398541,-0.429330384,-0.126814646,-2.191673148
Illinois_Nachusa,CCWX17,41.9042,-89.33205,2008,9,2013,4,11,6.52,3.46,61.02,26.58,6.64,21.4,2.2,22.65,119,-0.769072854,-1.115512924,-0.51850679,-2.403837045
Illinois_Nachusa,FCXX17,41.86615,-89.35752,2007,10,2016,1,8.42,6.4,2.74,66.12,20.48,4.4,9,1.8,16.65,112,-0.548302362,-0.676301416,-0.111812371,-1.967573976
Illinois_Nachusa,FCXX18,41.86615,-89.35752,2007,11,2018,0,8.86,6.48,2.14,67,24.44,2.66,6.6,1.509793483,16.65,112,-0.935316028,-0.791937033,0.041328578,-1.894595976
Illinois_Nachusa,HFXX17,41.90024,-89.35253,2013,4,2017,0,9.04,5.9,3.02,57.04,19.6,6,27.4,2.6,22.47,72,0.514493484,-0.283529439,-0.54764016,-2.247359055
Illinois_Nachusa,HFXX18,41.90024,-89.35253,2013,5,2018,0,9.18,5.66,2.56,56.08,17.96,3.84,17.6,2.156788644,22.47,72,0.668436102,0.346733004,-1.91436462,-2.488535253
Illinois_Nachusa,HLPX17,41.89599,-89.36178,2000,17,2016,1,10.76,6.54,3.14,61.42,28.4,3.96,11,3.8,19.84,32,-1.15184419,-0.773056975,-0.165719077,-1.365085501
Illinois_Nachusa,HLPX18,41.89599,-89.36178,2000,18,2018,0,10.34,6.6,2.48,61.86,30.2,2.58,8.6,1.751851013,19.84,32,-1.271541194,-0.882448899,0.135735475,-1.683797246
Illinois_Nachusa,HPNX17,41.89985,-89.36222,2012,5,2017,0,7.54,5.7,2.82,50.16,18.2,8.64,39,2.8,13.55,87,1.614664972,-0.667168041,-3.230058816,-1.662838043
Illinois_Nachusa,HPNX18,41.89985,-89.36222,2012,6,2017,1,7.68,5.36,2.06,47.7,16.72,5.22,24.6,3.595605702,13.55,87,1.834794271,0.238981523,-1.814026686,-1.031103489
Illinois_Nachusa,HPWX17,41.89957,-89.36633,2008,9,2015,2,7.1,6.4,2.46,59.34,24.98,7.6,18,4,22.65,118,0.1394874,-1.742043259,-0.543325684,-1.966273196
Illinois_Nachusa,HPWX18,41.89957,-89.36633,2008,10,2018,0,7,6.48,1.86,62.22,27.2,4.04,11,6.027418265,22.65,118,-0.452346005,-1.404254975,-0.440466935,-2.345218043
Illinois_Nachusa,LXXX17,41.89629,-89.3434,2011,6,2017,0,7.76,6.1,2.6,57.68,21.24,7.12,37.6,2,9.01,90,0.618291406,-1.022091703,-1.214443223,-1.840846523
Illinois_Nachusa,LXXX18,41.89629,-89.3434,2011,7,2017,1,9.3,6.04,2.2,59.26,22.14,3.72,27.8,5.683966277,9.01,90,0.110595632,-0.331217936,-0.746309835,-1.637628239
Illinois_Nachusa,MUXX17,41.87859,-89.35635,1987,30,2016,1,9,6.32,3.22,63.3,22.08,4.18,8.6,1.6,6.16,33,-0.626760124,-0.403565714,-0.634158479,-2.109774295
Illinois_Nachusa,MUXX18,41.87859,-89.35635,1987,31,2018,0,9,6.18,2.46,61.7,23.98,2.04,5.6,6.981600117,6.16,33,-0.576139003,-0.171070934,0.075082524,-2.109573268
Illinois_Nachusa,SBEE17,41.89029,-89.30828,2009,8,2016,1,7.82,6.36,2.74,58.24,24.94,6.84,25.4,2,19.38,143,0.049851681,-1.347674548,-0.956524423,-1.905885354
Illinois_Nachusa,SBEE18,41.89029,-89.30828,2009,9,2016,2,8.18,6.4,2.16,59.22,26.92,4.7,16.2,3.951608947,19.38,143,-0.286384764,-1.218808137,-0.441059485,-2.248484759
Illinois_Nachusa,SBEW17,41.89058,-89.31153,2009,8,2016,1,9.06,6.38,3.3,58.92,25.12,8.5,28.8,2.4,19.38,143,-0.045389956,-1.495334586,-0.069807493,-1.78843146
Illinois_Nachusa,SBEW18,41.89058,-89.31153,2009,9,2016,2,9.54,6.36,2.52,58.24,27.06,5.58,19.6,2.814464171,19.38,143,-0.288740826,-1.160701854,-0.260993917,-1.946741345
Illinois_Nachusa,SBXX17,41.89111,-89.30804,2009,8,2016,1,8.84,6.74,3.08,63.6,28.44,6.3,13.4,1.4,19.38,143,-0.99794768,-1.660026987,-0.345911195,-1.0158935
Illinois_Nachusa,SBXX18,41.89111,-89.30804,2009,9,2016,2,8.96,6.64,2.48,62.64,29.46,4.46,8.4,3.794244851,19.38,143,-0.99539103,-1.417549487,-0.185362395,-1.994426641
Illinois_Nachusa,SFXX17,41.89634,-89.32544,2000,17,2017,0,7.2,6.34,3.22,59.92,22.62,7.76,11,2.8,19.84,41,0.04457613,-1.332916013,-0.360234683,-1.984642185
Illinois_Nachusa,SFXX18,41.89634,-89.32544,2000,18,2017,1,6.8,6.16,2,57.92,23.78,5.24,7.4,10.25759315,19.84,41,0.296923189,-1.114507613,-0.581975849,-2.042159493
Illinois_Nachusa,TCEX17,41.88317,-89.32628,2002,15,2016,1,9.05,6.725,3.325,65.175,28.075,5.275,7.75,2,13.07,55,-1.274514788,-1.332258813,-0.243227849,-2.470600613
Illinois_Nachusa,TCEX18,41.88317,-89.32628,2002,16,2018,0,9.4,6.38,2.68,60.12,28.94,2.48,6,6.39335511,13.07,55,-0.954858264,-0.591425345,-0.130734021,-2.404283148
Illinois_Nachusa,TCXX17,41.88313,-89.32526,2002,15,2016,1,7.24,6.52,2.36,61.28,28.16,4.74,11.6,2.2,13.07,55,-0.562000204,-1.442937923,-0.230117059,-1.891278811
